Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Other and unspecified porphyria,Monitor vitals regularly,Avoid oily food,Maintain hygiene,Take medicines on time
"Laceration of brachial artery, unspecified side",Take medicines on time,Exercise lightly,Monitor vitals regularly,Maintain hygiene
Other specified injury of dorsal artery of right foot,Get adequate rest,Drink plenty of water,Maintain hygiene,Take medicines on time
Partial traumatic metacarpophalangeal amputation of right thumb,Drink plenty of water,Take medicines on time,Monitor vitals regularly,Exercise lightly
Other sprain of right hip,Drink plenty of water,Take medicines on time,Monitor vitals regularly,Exercise lightly
Drowning and submersion due to falling or jumping from other crushed powered watercraft,Avoid oily food,Get adequate rest,Exercise lightly,Take medicines on time
Newborn affected by other specified complications of labor and delivery,Monitor vitals regularly,Drink plenty of water,Avoid oily food,Maintain hygiene
Salter-Harris Type II physeal fracture of left calcaneus,Take medicines on time,Get adequate rest,Exercise lightly,Monitor vitals regularly
External constriction of right thumb,Monitor vitals regularly,Take medicines on time,Drink plenty of water,Maintain hygiene
Other protozoal intestinal diseases,Take medicines on time,Monitor vitals regularly,Exercise lightly,Drink plenty of water
Major contusion of unspecified kidney,Avoid oily food,Get adequate rest,Maintain hygiene,Exercise lightly
Other fracture of second thoracic vertebra,Get adequate rest,Maintain hygiene,Drink plenty of water,Avoid oily food
Failed or difficult intubation for anesthesia during the puerperium,Take medicines on time,Get adequate rest,Exercise lightly,Maintain hygiene
"Laceration of axillary or brachial vein, left side",Exercise lightly,Monitor vitals regularly,Take medicines on time,Get adequate rest
Nightmare disorder,Avoid oily food,Get adequate rest,Monitor vitals regularly,Maintain hygiene
Corrosion of third degree of left toe(s) (nail),Monitor vitals regularly,Exercise lightly,Take medicines on time,Drink plenty of water
"Other injury of adductor muscle, fascia and tendon of right thigh",Get adequate rest,Monitor vitals regularly,Exercise lightly,Avoid oily food
Infection and inflammatory reaction due to internal left knee prosthesis,Take medicines on time,Monitor vitals regularly,Maintain hygiene,Exercise lightly
Embolism and thrombosis of other thoracic veins,Get adequate rest,Maintain hygiene,Drink plenty of water,Avoid oily food
Other specified injury of left vertebral artery,Take medicines on time,Avoid oily food,Drink plenty of water,Exercise lightly
Traumatic subdural hemorrhage with loss of consciousness of 31 minutes to 59 minutes,Exercise lightly,Drink plenty of water,Monitor vitals regularly,Take medicines on time
Laceration without foreign body of unspecified part of thorax,Drink plenty of water,Exercise lightly,Get adequate rest,Monitor vitals regularly
Personal history of steroid therapy,Monitor vitals regularly,Exercise lightly,Maintain hygiene,Drink plenty of water
"Unspecified foreign body in respiratory tract, part unspecified causing other injury",Monitor vitals regularly,Get adequate rest,Maintain hygiene,Take medicines on time
Laceration without foreign body of left great toe without damage to nail,Maintain hygiene,Get adequate rest,Exercise lightly,Drink plenty of water
Corrosion of third degree of left wrist,Take medicines on time,Exercise lightly,Get adequate rest,Monitor vitals regularly
Carrier of bacterial disease due to staphylococci,Drink plenty of water,Get adequate rest,Exercise lightly,Avoid oily food
"Salter-Harris Type III physeal fracture of lower end of humerus, unspecified arm",Exercise lightly,Take medicines on time,Get adequate rest,Monitor vitals regularly
Other diseases of intestine,Maintain hygiene,Avoid oily food,Get adequate rest,Drink plenty of water
Exposure to unspecified man-made visible and ultraviolet light,Get adequate rest,Exercise lightly,Drink plenty of water,Take medicines on time
Trigger finger,Maintain hygiene,Get adequate rest,Drink plenty of water,Avoid oily food
Other acute osteomyelitis,Avoid oily food,Get adequate rest,Take medicines on time,Exercise lightly
Atherosclerosis of autologous vein bypass graft(s) of the extremities with rest pain,Drink plenty of water,Take medicines on time,Get adequate rest,Maintain hygiene
"Burn of third degree of multiple sites of head, face, and neck",Avoid oily food,Maintain hygiene,Exercise lightly,Get adequate rest
"Poisoning by dental drugs, topically applied, accidental (unintentional)",Get adequate rest,Exercise lightly,Monitor vitals regularly,Take medicines on time
"Hemarthrosis, hand",Get adequate rest,Exercise lightly,Avoid oily food,Monitor vitals regularly
Inferior subluxation of left humerus,Monitor vitals regularly,Maintain hygiene,Take medicines on time,Drink plenty of water
"Injury of other nerves at forearm level, right arm",Monitor vitals regularly,Drink plenty of water,Maintain hygiene,Take medicines on time
Coronary atherosclerosis due to lipid rich plaque,Avoid oily food,Monitor vitals regularly,Drink plenty of water,Get adequate rest
Other postprocedural states,Drink plenty of water,Get adequate rest,Take medicines on time,Exercise lightly
Nondisplaced fracture of medial wall of left acetabulum,Take medicines on time,Maintain hygiene,Avoid oily food,Drink plenty of water
"Spontaneous rupture of flexor tendons, shoulder",Maintain hygiene,Monitor vitals regularly,Drink plenty of water,Take medicines on time
Nondisplaced fracture of distal phalanx of left middle finger,Exercise lightly,Get adequate rest,Drink plenty of water,Monitor vitals regularly
Traumatic rupture of palmar ligament of right ring finger at metacarpophalangeal and interphalangeal joint,Avoid oily food,Monitor vitals regularly,Drink plenty of water,Exercise lightly
Dislocation of distal interphalangeal joint of right ring finger,Maintain hygiene,Get adequate rest,Drink plenty of water,Take medicines on time
Nondisplaced fracture of head of left radius,Maintain hygiene,Take medicines on time,Drink plenty of water,Avoid oily food
Malignant neoplasm of peripheral nerves of abdomen,Avoid oily food,Exercise lightly,Maintain hygiene,Monitor vitals regularly
Other subluxation of right knee,Maintain hygiene,Take medicines on time,Exercise lightly,Get adequate rest
Other private fixed-wing aircraft fire injuring occupant,Take medicines on time,Drink plenty of water,Maintain hygiene,Avoid oily food
"War operations involving unspecified destruction of aircraft, military personnel",Monitor vitals regularly,Get adequate rest,Exercise lightly,Drink plenty of water
"Villonodular synovitis (pigmented), shoulder",Avoid oily food,Get adequate rest,Monitor vitals regularly,Maintain hygiene
Disorders resulting from impaired renal tubular function,Maintain hygiene,Get adequate rest,Exercise lightly,Drink plenty of water
Person injured while boarding or alighting from special agricultural vehicle,Monitor vitals regularly,Exercise lightly,Avoid oily food,Maintain hygiene
Inflammation (infection) of postprocedural bleb,Monitor vitals regularly,Exercise lightly,Drink plenty of water,Maintain hygiene
Glider (nonpowered) crash injuring occupant,Avoid oily food,Take medicines on time,Drink plenty of water,Monitor vitals regularly
Other acantholytic disorders,Drink plenty of water,Take medicines on time,Exercise lightly,Monitor vitals regularly
Abdominal tenderness,Exercise lightly,Take medicines on time,Avoid oily food,Maintain hygiene
"Asphyxiation due to smothering under another person's body (in bed), assault",Maintain hygiene,Exercise lightly,Avoid oily food,Take medicines on time
Struck by ice hockey stick,Exercise lightly,Drink plenty of water,Take medicines on time,Get adequate rest
Person on outside of dune buggy injured in nontraffic accident,Maintain hygiene,Take medicines on time,Get adequate rest,Drink plenty of water
Cicatricial lagophthalmos,Monitor vitals regularly,Take medicines on time,Get adequate rest,Exercise lightly
Congenital malformations of posterior segment of eye,Maintain hygiene,Monitor vitals regularly,Exercise lightly,Get adequate rest
"Bucket-handle tear of lateral meniscus, current injury, right knee",Avoid oily food,Take medicines on time,Exercise lightly,Drink plenty of water
"Strain of flexor muscle, fascia and tendon of right little finger at wrist and hand level",Get adequate rest,Drink plenty of water,Exercise lightly,Maintain hygiene
Sprain of unspecified coracohumeral (ligament),Drink plenty of water,Monitor vitals regularly,Take medicines on time,Get adequate rest
Partial traumatic transphalangeal amputation of right ring finger,Monitor vitals regularly,Exercise lightly,Take medicines on time,Maintain hygiene
Aftercare following explantation of joint prosthesis,Get adequate rest,Avoid oily food,Maintain hygiene,Monitor vitals regularly
"Other bursal cyst, hand",Drink plenty of water,Exercise lightly,Monitor vitals regularly,Take medicines on time
Anaphylactic reaction due to fruits and vegetables,Exercise lightly,Take medicines on time,Drink plenty of water,Monitor vitals regularly
Congenital malformations of esophagus,Monitor vitals regularly,Take medicines on time,Maintain hygiene,Drink plenty of water
"Idiopathic chronic gout, unspecified elbow",Take medicines on time,Get adequate rest,Avoid oily food,Maintain hygiene
Traction detachment of retina,Exercise lightly,Get adequate rest,Avoid oily food,Take medicines on time
Avulsion of right eye,Drink plenty of water,Avoid oily food,Exercise lightly,Monitor vitals regularly
"Displaced fracture of glenoid cavity of scapula, left shoulder",Monitor vitals regularly,Exercise lightly,Drink plenty of water,Avoid oily food
Motorcycle passenger injured in collision with two- or three-wheeled motor vehicle in nontraffic accident,Monitor vitals regularly,Take medicines on time,Exercise lightly,Get adequate rest
Contusion of unspecified back wall of thorax,Take medicines on time,Avoid oily food,Monitor vitals regularly,Exercise lightly
"Laceration of flexor muscle, fascia and tendon of left thumb at forearm level",Monitor vitals regularly,Get adequate rest,Exercise lightly,Take medicines on time
Unspecified physeal fracture of lower end of right femur,Monitor vitals regularly,Take medicines on time,Get adequate rest,Maintain hygiene
Minor laceration of unspecified pulmonary blood vessels,Exercise lightly,Monitor vitals regularly,Take medicines on time,Drink plenty of water
"Complete traumatic amputation at elbow level, left arm",Drink plenty of water,Avoid oily food,Exercise lightly,Get adequate rest
"Other ossification of muscle, ankle and foot",Avoid oily food,Get adequate rest,Monitor vitals regularly,Maintain hygiene
"Polyhydramnios, unspecified trimester",Get adequate rest,Drink plenty of water,Exercise lightly,Maintain hygiene
Other serum reaction due to administration of blood and blood products,Maintain hygiene,Get adequate rest,Take medicines on time,Drink plenty of water
"Other cause of strike by thrown, projected or falling object",Avoid oily food,Get adequate rest,Monitor vitals regularly,Maintain hygiene
"Military operations involving flamethrower, military personnel",Drink plenty of water,Get adequate rest,Take medicines on time,Monitor vitals regularly
Dislocation of other parts of left shoulder girdle,Get adequate rest,Maintain hygiene,Take medicines on time,Monitor vitals regularly
