Disease,Description
Underdosing of smallpox vaccines,Underdosing of smallpox vaccines is a medical condition that requires attention. Symptoms may vary.
Medial subluxation of left ulnohumeral joint,Medial subluxation of left ulnohumeral joint is a medical condition that requires attention. Symptoms may vary.
Unspecified fracture of facial bones,Unspecified fracture of facial bones is a medical condition that requires attention. Symptoms may vary.
Unspecified focal traumatic brain injury with loss of consciousness of 1 hour to 5 hours 59 minutes,Unspecified focal traumatic brain injury with loss of consciousness of 1 hour to 5 hours 59 minutes is a medical condition that requires attention. Symptoms may vary.
Cannabis dependence,Cannabis dependence is a medical condition that requires attention. Symptoms may vary.
Nondisplaced fracture of lateral condyle of right tibia,Nondisplaced fracture of lateral condyle of right tibia is a medical condition that requires attention. Symptoms may vary.
Nondisplaced fracture of medial cuneiform of right foot,Nondisplaced fracture of medial cuneiform of right foot is a medical condition that requires attention. Symptoms may vary.
"Pain due to vascular prosthetic devices, implants and grafts","Pain due to vascular prosthetic devices, implants and grafts is a medical condition that requires attention. Symptoms may vary."
"Laceration with foreign body, right thigh","Laceration with foreign body, right thigh is a medical condition that requires attention. Symptoms may vary."
Furuncle of trunk,Furuncle of trunk is a medical condition that requires attention. Symptoms may vary.
"Disorder of the autonomic nervous system, unspecified","Disorder of the autonomic nervous system, unspecified is a medical condition that requires attention. Symptoms may vary."
Blister (nonthermal) of unspecified parts of thorax,Blister (nonthermal) of unspecified parts of thorax is a medical condition that requires attention. Symptoms may vary.
"Unspecified complication of foreign body accidentally left in body following aspiration, puncture or other catheterization","Unspecified complication of foreign body accidentally left in body following aspiration, puncture or other catheterization is a medical condition that requires attention. Symptoms may vary."
Pedestrian on skateboard injured in collision with railway train or railway vehicle in traffic accident,Pedestrian on skateboard injured in collision with railway train or railway vehicle in traffic accident is a medical condition that requires attention. Symptoms may vary.
"Displaced fracture of neck of third metacarpal bone, left hand","Displaced fracture of neck of third metacarpal bone, left hand is a medical condition that requires attention. Symptoms may vary."
Breakdown (mechanical) of balloon (counterpulsation) device,Breakdown (mechanical) of balloon (counterpulsation) device is a medical condition that requires attention. Symptoms may vary.
Displaced transverse fracture of unspecified patella,Displaced transverse fracture of unspecified patella is a medical condition that requires attention. Symptoms may vary.
"Poisoning by oral contraceptives, accidental (unintentional)","Poisoning by oral contraceptives, accidental (unintentional) is a medical condition that requires attention. Symptoms may vary."
"Partial traumatic amputation at elbow level, right arm","Partial traumatic amputation at elbow level, right arm is a medical condition that requires attention. Symptoms may vary."
Dislocation of metatarsophalangeal joint of left lesser toe(s),Dislocation of metatarsophalangeal joint of left lesser toe(s) is a medical condition that requires attention. Symptoms may vary.
Minor laceration of right vertebral artery,Minor laceration of right vertebral artery is a medical condition that requires attention. Symptoms may vary.
Changes in retinal vascular appearance,Changes in retinal vascular appearance is a medical condition that requires attention. Symptoms may vary.
Nondisplaced fracture of body of right calcaneus,Nondisplaced fracture of body of right calcaneus is a medical condition that requires attention. Symptoms may vary.
Diseases of spleen,Diseases of spleen is a medical condition that requires attention. Symptoms may vary.
Ischemic cardiomyopathy,Ischemic cardiomyopathy is a medical condition that requires attention. Symptoms may vary.
"Drug-induced chronic gout, right hand","Drug-induced chronic gout, right hand is a medical condition that requires attention. Symptoms may vary."
Chronic venous hypertension (idiopathic) without complications,Chronic venous hypertension (idiopathic) without complications is a medical condition that requires attention. Symptoms may vary.
Gastric contents in trachea causing other injury,Gastric contents in trachea causing other injury is a medical condition that requires attention. Symptoms may vary.
Polymyositis,Polymyositis is a medical condition that requires attention. Symptoms may vary.
Laceration with foreign body of right great toe with damage to nail,Laceration with foreign body of right great toe with damage to nail is a medical condition that requires attention. Symptoms may vary.
"Paralytic calcification and ossification of muscle, lower leg","Paralytic calcification and ossification of muscle, lower leg is a medical condition that requires attention. Symptoms may vary."
